"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
client_dob,basic_demographics,,text,"Client DOB",,,date_dmy,1915-01-01,[eighteen],y,,y,,,,," @HIDEBUTTON"
ax_date,basic_demographics,,text,"Assessment Date",,,date_dmy,,,,,y,,,,," @HIDEBUTTON"
eighteen,basic_demographics,,text,"Eighteen years subtractor for age validation",,,date_dmy,,,,,,,,,," @HIDDEN-SURVEY
@CALCDATE([ax_date], -18, 'y')"
data_date,basic_demographics,,text,"Data Entry date",,,,,,,,,,,,," @TODAY
@HIDDEN"
client_age,basic_demographics,,calc,"Client's Age","rounddown(datediff([client_dob], [ax_date], 'y'))","This is the client's age at assessment",,,,,,,,,,," @HIDDEN"
battery_yn,basic_demographics,,yesno,"Were all tasks in the battery administered? ",,,,,,,,y,RH,,,," @DEFAULT='0'
@HIDDEN"
battery_tasks,basic_demographics,,checkbox,"Tests Administered","1, Block Design | 3, Similarities | 2, Digit Span | 4, Matrix Reasoning | 5, Arithmetic | 6, Vocabulary | 7, Information | 8, Visual Puzzles | 9, Coding | 10, Symbol Search | 11, SDMT | 12, Booklet Category Test | 13, BRIEF | 14, Brixton | 15, CAARS | 16, CPT (2 or 3) | 17, CVLT (2 or 3) | 18, CWIT | 19, DASS | 20, Elevator Counting | 21, Elevator Counting w/Distraction | 22, Hayling | 23, Info & Orientation | 35, Logical Memory | 24, Map Search | 25, Mental Control | 26, RCFT 30min | 27, RCFT 3min | 28, RCFT Copy | 29, TMT | 30, ToPF | 31, Trails | 32, Verbal Fluency | 36, Visual Reproduction | 33, WCST | 34, Zoo Maps",,,,,,"[battery_yn] = '0'",,LH,,,,
battery_other,basic_demographics,,notes,"What other tests were administered (separate with a semicolon) that are not collected here?",,,,,,,,,LH,,,,
demog_intro,demographics,,descriptive,"<div class=""rich-text-field-label""><p>Welcome to the demographic information input form for the <span style=""background-color: #f1c40f;""> </span>.</p> <p>This form contains XX questions. <br>You will be asked about your:</p> <ul> <li>Country of Origin, Language and Culture</li> <li>Location</li> <li>Sex and Gender</li> <li>Occupation and Education</li> <li>Health and Disability</li> </ul> <p>The information you provide here will not be attached to your name, contact details or other specific identifying information about you. We call this ""deidentified"" data. </p> <p>If you have any questions or concerns about participating please see the Participant Information Sheet <span style=""background-color: #f1c40f;"">(LINK NEEDED)</span>. </p> <p> </p> <p>Why do you need this information about me for this research?</p> <p><span style=""font-weight: normal;"">These questions are very important for our research, as we are hoping to ensure we can collect data from a wide range of people with a variety of experiences. </span></p> <p><span style=""font-weight: normal;"">That way, when we write up conclusions about the research we can be accurate in saying which groups in our communities the data describes well, and which groups might need more attention in the future to be represented. </span></p> <p><span style=""font-weight: normal;"">We are also hoping to create tools for clinical neuropsychologists to use when they see people from a range of different backgrounds. For example, some activities used for checking cognitive health are easier for people who have spoken English their whole life, and harder for people who learn English later in life. Ideally, we could use activities in people's first languages, however, often that isn't an available option. </span></p> <p><span style=""font-weight: normal;"">If someone struggles with an activity, clinical neuropsychologists want to be sure about why that might be, and avoid mistakes due to language or other social differences!</span></p> <p><span style=""font-weight: normal;"">So, your demographic information can help us to identify if there are ways to make it more 'fair' when doing a check up on people's cognitive health.</span></p> <p>If you would like to ask more questions, please contact the researchers at:</p></div>",,,,,,,,,,,,," @HIDDEN"
placeholder,demographics,,descriptive,"WELCOME TEXT HERE
...
PARTICIPANT INFORMATION SHEET HERE
...
CONSENT FORM HERE
",,,,,,,,,,,,," @HIDDEN"
consent,demographics,,file,"<div class=""rich-text-field-label""><p>Please sign to indicate your consent to participate in this study.<br><span style=""font-weight: normal;"">You may revoke your consent to participate at anytime during this study.</span></p></div>",,,signature,,,,,,,,,," @HIDDEN"
demographics_filter,demographics,,radio,"Who is entering data?","0, Self-Reported | 1, RA Data Entry from Records | 2, Other",,,,,,,,,,,," @DEFAULT='1'"
adhd_referral,demographics,,yesno,"Was the participant referred for an ADHD assessment",,,,,,,,,LH,,,,
adhd_referral2,demographics,,yesno,"Was the referral only for ADHD assessment?",,,,,,,,,LH,,,,
referral_question,demographics,,notes,"Comment on the referral question below if required.",,,,,,,,,LH,,,,
adhd_previous,demographics,,yesno,"Did this participant have a pre-existing ADHD diagnosis?",,,,,,,,,LH,,,,
adhd_diagnosed,demographics,,yesno,"Did this participant leave with an ADHD diagnosis?",,,,,,,,,LH,,,,
adhd_type,demographics,,radio,"Which type of ADHD?","1, Inattentive | 2, Hyperactive | 3, Combined | 4, Not Specified",,,,,,"[adhd_diagnosed] = '1'",,LH,,,,
ax_conclusion,demographics,,notes,"Were there any other conclusions from the assessment?",,,,,,,,,LH,,,,
sr_countrybirth,demographics,,dropdown,"In which country were you born?","1, Australia|2, England|3, India|4, China|5, New Zealand|6, Philippines|7, Vietnam|8, South Africa|9, Malaysia|10, Nepal|11, Italy|12, Sri Lanka|13, Scotland|14, Pakistan|15, Hong Kong|16, Korea, South|17, USA|18, Thailand|19, Indonesia|20, Iraq|21, Germany|22, Lebanon|23, Ireland|24, Greece|25, Fiji|26, Iran|27, Afghanistan|28, Singapore|29, Netherlands|30, Brazil|31, Bangladesh|32, Colombia|33, Taiwan|34, Canada|35, Japan|36, North Macedonia|37, Croatia|38, Poland|39, Egypt|40, Zimbabwe|41, Myanmar|42, Türkiye|43, Cambodia|44, France|45, Chile|46, Samoa|47, Malta|48, PNG|49, Syria|50, Wales|51, Kenya|52, Russia|53, Bosnia/Herzegov|54, Serbia|55, Mauritius|56, Bhutan|57, Argentina|58, Northern Ireland|59, Ukraine|60, Spain|61, Tonga|62, Sudan|63, Nigeria|64, Portugal|65, Cyprus|66, Hungary|67, Ethiopia|68, Unit Arab Emir|69, Romania|70, Peru|71, Saudi Arabia|72, Austria|73, Switzerland|74, Timor-Leste|75, Mongolia|76, Laos|77, Israel|78, Sweden|79, El Salvador|80, Czechia|81, Uruguay|82, Denmark|83, Somalia|84, Jordan|85, Mexico|86, Vanuatu|87, South Sudan|88, Ghana|89, Zambia|90, Finland|91, Kuwait|92, Venezuela|93, Belgium|94, Cook Islands|95, Solomon Islands|96, Congo, Dem Rep|97, Slovakia|98, Eritrea|99, Slovenia|100, Uganda|101, Other (please specify)","Countries in order of population size within Australia as of 2023. Source: ABS",autocomplete,,,,"[demographics_filter] = '0'",y,,,,,
sr_countrybirth_other,demographics,,text,"You selected other, please specify which country:",,,,,,,"[demographics_filter] = '0'",,,,,,
sr_arrival,demographics,,text,"What year did you arrive in Australia to live here?",,,,,,,"[demographics_filter] = '0'",y,,,,,
sr_matbirth,demographics,,dropdown,"In which country was your mother born?","0, Not applicable or unknown|1, Australia|2, England|3, India|4, China|5, New Zealand|6, Philippines|7, Vietnam|8, South Africa|9, Malaysia|10, Nepal|11, Italy|12, Sri Lanka|13, Scotland|14, Pakistan|15, Hong Kong|16, Korea, South|17, USA|18, Thailand|19, Indonesia|20, Iraq|21, Germany|22, Lebanon|23, Ireland|24, Greece|25, Fiji|26, Iran|27, Afghanistan|28, Singapore|29, Netherlands|30, Brazil|31, Bangladesh|32, Colombia|33, Taiwan|34, Canada|35, Japan|36, North Macedonia|37, Croatia|38, Poland|39, Egypt|40, Zimbabwe|41, Myanmar|42, Türkiye|43, Cambodia|44, France|45, Chile|46, Samoa|47, Malta|48, PNG|49, Syria|50, Wales|51, Kenya|52, Russia|53, Bosnia/Herzegov|54, Serbia|55, Mauritius|56, Bhutan|57, Argentina|58, Northern Ireland|59, Ukraine|60, Spain|61, Tonga|62, Sudan|63, Nigeria|64, Portugal|65, Cyprus|66, Hungary|67, Ethiopia|68, Unit Arab Emir|69, Romania|70, Peru|71, Saudi Arabia|72, Austria|73, Switzerland|74, Timor-Leste|75, Mongolia|76, Laos|77, Israel|78, Sweden|79, El Salvador|80, Czechia|81, Uruguay|82, Denmark|83, Somalia|84, Jordan|85, Mexico|86, Vanuatu|87, South Sudan|88, Ghana|89, Zambia|90, Finland|91, Kuwait|92, Venezuela|93, Belgium|94, Cook Islands|95, Solomon Islands|96, Congo, Dem Rep|97, Slovakia|98, Eritrea|99, Slovenia|100, Uganda|101, Other (please specify)","Countries in order of population size within Australia as of 2023. Source: ABS",autocomplete,,,,"[demographics_filter] = '0'",,,,,,
sr_matbirth_other,demographics,,text,"You selected other, please specify which country:",,,,,,,"[demographics_filter] = '0'",,,,,,
sr_patbirth,demographics,,dropdown,"In which country was your father born?","0, Not applicable or unknown|1, Australia|2, England|3, India|4, China|5, New Zealand|6, Philippines|7, Vietnam|8, South Africa|9, Malaysia|10, Nepal|11, Italy|12, Sri Lanka|13, Scotland|14, Pakistan|15, Hong Kong|16, Korea, South|17, USA|18, Thailand|19, Indonesia|20, Iraq|21, Germany|22, Lebanon|23, Ireland|24, Greece|25, Fiji|26, Iran|27, Afghanistan|28, Singapore|29, Netherlands|30, Brazil|31, Bangladesh|32, Colombia|33, Taiwan|34, Canada|35, Japan|36, North Macedonia|37, Croatia|38, Poland|39, Egypt|40, Zimbabwe|41, Myanmar|42, Türkiye|43, Cambodia|44, France|45, Chile|46, Samoa|47, Malta|48, PNG|49, Syria|50, Wales|51, Kenya|52, Russia|53, Bosnia/Herzegov|54, Serbia|55, Mauritius|56, Bhutan|57, Argentina|58, Northern Ireland|59, Ukraine|60, Spain|61, Tonga|62, Sudan|63, Nigeria|64, Portugal|65, Cyprus|66, Hungary|67, Ethiopia|68, Unit Arab Emir|69, Romania|70, Peru|71, Saudi Arabia|72, Austria|73, Switzerland|74, Timor-Leste|75, Mongolia|76, Laos|77, Israel|78, Sweden|79, El Salvador|80, Czechia|81, Uruguay|82, Denmark|83, Somalia|84, Jordan|85, Mexico|86, Vanuatu|87, South Sudan|88, Ghana|89, Zambia|90, Finland|91, Kuwait|92, Venezuela|93, Belgium|94, Cook Islands|95, Solomon Islands|96, Congo, Dem Rep|97, Slovakia|98, Eritrea|99, Slovenia|100, Uganda|101, Other (please specify)","Countries in order of population size within Australia as of 2023. Source: ABS",autocomplete,,,,"[demographics_filter] = '0'",,,,,,
sr_patbirth_other,demographics,,text,"You selected other, please specify which country:",,,,,,,"[demographics_filter] = '0'",,,,,,
sr_homelang,demographics,,yesno,"Do you speak a language other than English at home?",,"Source: ABS",,,,,"[demographics_filter] = '0'",y,RH,,,,
sr_mainlang,demographics,,text,"Which language do you mainly speak at home?",,"Source: ABS",,,,,"[demographics_filter] = '0'",,,,,,
sr_english,demographics,,dropdown,"How well do you speak English?","1, Very well|2, Well|3, Not well|4, Not at all","Source: ABS ",,,,,"[demographics_filter] = '0'",,,,,,
sr_indigenous,demographics,,checkbox,"<div class=""rich-text-field-label""><p>Are you of Aboriginal or Torres Strait Islander origin?<br><span style=""font-weight: normal;"">For persons of both Aboriginal and Torres Strait Islander origin, mark both 'Yes' boxes.</span></p></div>","1, No|2, Yes, Aboriginal|3, Yes, Torres Strait Islander|4, Prefer not to answer","Source: ABS",,,,,"[demographics_filter] = '0'",y,,,,,
sr_religion,demographics,,text,"What, if any, is your religion?",,"Source: ABS",,,,,"[demographics_filter] = '0'",,,,,,
sr_sex,demographics,"Sex & Gender Variables",radio,"<div class=""rich-text-field-label""><p>What was your sex recorded at birth?<br><span style=""font-weight: normal;"">A separate question on gender is also asked in this survey.</span></p></div>","1, Female|2, Male|3, Another term (please specify)|0, I prefer not to answer","Source: ABS ",,,,,"[demographics_filter] = '0'",,,,,,
sr_sex_other,demographics,,text,"What term do you prefer to describe your sex?",,,,,,,"[demographics_filter] = '0'",,,,,,
sr_gender,demographics,,radio,"<div class=""rich-text-field-label""><p>How do you describe your gender?<br><span style=""font-weight: normal;"">Gender refers to current gender, which may be different to sex recorded at birth and may be different to what is indicated on legal documents.</span></p></div>","1, Woman or female|2, Man or male|3, Non-binary|4, I use a different term (please specify)|0, I prefer not to answer","Source: ABS ",,,,,"[demographics_filter] = '0'",,,,,,
sr_gender_other,demographics,,text,"What term do you prefer to describe your gender?",,,,,,,"[demographics_filter] = '0'",,,,,," @DEFAULT='1'
@HIDDEN"
sr_orientation,demographics,,radio,"How do you describe your sexual orientation?","1, Straight (heterosexual)|2, Gay or lesbian (same-sex attracted)|3, Bisexual|4, Asexual|5, I use a different term (please specify)|6, I don't know|0, I prefer not to answer","Source: ABS",,,,,"[demographics_filter] = '0'",,,,,,
sr_orientation_other,demographics,,text,"What term do you prefer to describe your orientation?",,,,,,,"[demographics_filter] = '0'",,,,,," @IF([client_age]>0, @DEFAULT='[client_age]', 'err')
@HIDDEN"
sr_jobnow1,demographics,"Employment and Occupation Variables (these items ask about your employment, study and health will be asked about further down)",radio,"Are you currently employed in paid work?","1, Yes|0, No",,,,,,"[demographics_filter] = '0'",,,,,," @HIDDEN"
sr_jobnow,demographics,,radio,"Of the following categories, which best describes your current employment status?","5, Employed - unpaid worker in a family business|6, Unemployed - seeking full-time work|7, Unemployed - seeking part-time or casual work|8, Not employed - not seeking employment|9, Other","Adapted from ABS Labour Force Set ""A 'job' means any type of work including casual, temporary or part-time work, if it was for one hour or more.""",,,,,"[demographics_filter] = '0'",,,,,,
sr_jobnow2,demographics,,radio,"Of the following categories, which best describes your current employment status?","1, Full-time employee (including 0.8 FTE or more)|2, Part-time or casual employee (less than 0.8 FTE)|3, Self-employed - not employing others|4, Self-employed - employing others|10, Other","Adapted from ABS Labour Force Set ""A 'job' means any type of work including casual, temporary or part-time work, if it was for one hour or more.""",,,,,"[demographics_filter] = '0'",,,,,," @HIDDEN"
sr_jobnow_hrs,demographics,,text,"On average, how many hours per week do you currently work?",,"Non-ABS Item",,,,,"[demographics_filter] = '0'",,,,,," @HIDDEN"
sr_jobever,demographics,,checkbox,"Of the following categories, which best describes your past employment status, or statuses?","1, Full-time employee (including 0.8 FTE or more)|2, Part-time or casual employee (less than 0.8 FTE)|3, Self-employed - not employing others|4, Self-employed - employing others|5, Employed - unpaid worker in a family business|6, Unemployed - seeking full-time work|7, Unemployed - seeking part-time or casual work|8, Not employed - not seeking employment","Adapted from ABS Labour Force Set ""A 'job' means any type of work including casual, temporary or part-time work, if it was for one hour or more.""",,,,,"[demographics_filter] = '0'",,,,,," @HIDDEN"
sr_jobever_hrs,demographics,,text,"On average, how many hours per week did you previously work?",,"Non-ABS Item",,,,,"[demographics_filter] = '0'",,,,,,
sr_jobtitle,demographics,,text,"In the main job or role held in your life, what was your occupation?",,"""Give full title.  For example: Registered Aged Care Nurse, House Cleaner, Retail Sales Assistant, Ore Crushing Machine Operator.  For public servants, write occupation title and level. For example: Customer Service Officer APS5.  For armed services personnel, write rank and occupation."" Adapted from ABS Occupation Set ",,,,,"[demographics_filter] = '0'",,,,,,
sr_postcode,demographics,"Residential Variables",text,"What is the postcode of where you currently live? ",,,,,,,"[demographics_filter] = '0'",y,,,,,
sr_suburb,demographics,,text,"What is the suburb name of where you currently live?",,,,,,,"[demographics_filter] = '0'",,,,,,
sr_region1,demographics,,radio,"In terms of your residential address, where did you live as a child?","1, Major cities|2, Inner Regional|3, Outer Regional|4, Remote|5, Very Remote|6, Other","Non-ABS Item",,,,,"[demographics_filter] = '0'",y,,,,,
sr_region1_other,demographics,,text,"Please clarify what you mean by Other:",,"Non-ABS Item",,,,,"[demographics_filter] = '0'",,,,,,
sr_region2,demographics,,radio,"In terms of your residential address, where have you spent the majority of your adult life?","1, Major cities|2, Inner Regional|3, Outer Regional|4, Remote|5, Very Remote|6, Other","Non-ABS Item",,,,,"[demographics_filter] = '0'",y,,,,,
sr_region2_other,demographics,,text,"Please clarify what you mean by Other:",,"Non-ABS Item",,,,,"[demographics_filter] = '0'",,,,,,
sr_study,demographics,"Education Variables",radio,"Are you attending a school or any other education institution?","1, No|2, Yes - full-time student|3, Yes - part-time student","Adapted from ABS Census Set",,,,,"[demographics_filter] = '0'",,,,,,
sr_school,demographics,,radio,"What is the highest year of primary or secondary school you have completed?","1, Year 12 or equivalent|2, Year 11 or equivalent|3, Year 10, or equivalent|4, Year 9, or equivalent|5, Year 8, or below|6, Did not go to school","Adapted from ABS Census Set",,,,,"[demographics_filter] = '0'",,,,,,
sr_countryschool,demographics,,dropdown,"Where did you do this schooling?","1, Australia|2, England|3, India|4, China|5, New Zealand|6, Philippines|7, Vietnam|8, South Africa|9, Malaysia|10, Nepal|11, Italy|12, Sri Lanka|13, Scotland|14, Pakistan|15, Hong Kong|16, Korea, South|17, USA|18, Thailand|19, Indonesia|20, Iraq|21, Germany|22, Lebanon|23, Ireland|24, Greece|25, Fiji|26, Iran|27, Afghanistan|28, Singapore|29, Netherlands|30, Brazil|31, Bangladesh|32, Colombia|33, Taiwan|34, Canada|35, Japan|36, North Macedonia|37, Croatia|38, Poland|39, Egypt|40, Zimbabwe|41, Myanmar|42, Türkiye|43, Cambodia|44, France|45, Chile|46, Samoa|47, Malta|48, PNG|49, Syria|50, Wales|51, Kenya|52, Russia|53, Bosnia/Herzegov|54, Serbia|55, Mauritius|56, Bhutan|57, Argentina|58, Northern Ireland|59, Ukraine|60, Spain|61, Tonga|62, Sudan|63, Nigeria|64, Portugal|65, Cyprus|66, Hungary|67, Ethiopia|68, Unit Arab Emir|69, Romania|70, Peru|71, Saudi Arabia|72, Austria|73, Switzerland|74, Timor-Leste|75, Mongolia|76, Laos|77, Israel|78, Sweden|79, El Salvador|80, Czechia|81, Uruguay|82, Denmark|83, Somalia|84, Jordan|85, Mexico|86, Vanuatu|87, South Sudan|88, Ghana|89, Zambia|90, Finland|91, Kuwait|92, Venezuela|93, Belgium|94, Cook Islands|95, Solomon Islands|96, Congo, Dem Rep|97, Slovakia|98, Eritrea|99, Slovenia|100, Uganda|101, Other (please specify)","Countries in order of population size within Australia as of 2023. Source: ABS",autocomplete,,,,"[demographics_filter] = '0'",y,,,,,
sr_education,demographics,,radio,"Have you completed any educational qualifications?","1, No|2, No, still studying first qualification|3, Yes, trade certificate/appenticeship|4, Yes, other qualification (certificate, diploma, or degree)",,,,,,"[demographics_filter] = '0'",,,,,,
sr_qualification,demographics,,radio,"What is the highest qualification you have completed?","1, Certificate I, II, or III|2, Certificate IV|3, Diploma|4, Advanced Diploma|5, Bachelor Degree or Trade Certificate|6, Graduate Certificate or Honours|7, Master Degree|8, Doctorate","Adapted from ABS Census Set ",,,,,"[demographics_filter] = '0'",,,,,,
sr_countryqualif,demographics,,dropdown,"Where did you do this qualification (i.e., your highest qualification)?","1, Australia|2, England|3, India|4, China|5, New Zealand|6, Philippines|7, Vietnam|8, South Africa|9, Malaysia|10, Nepal|11, Italy|12, Sri Lanka|13, Scotland|14, Pakistan|15, Hong Kong|16, Korea, South|17, USA|18, Thailand|19, Indonesia|20, Iraq|21, Germany|22, Lebanon|23, Ireland|24, Greece|25, Fiji|26, Iran|27, Afghanistan|28, Singapore|29, Netherlands|30, Brazil|31, Bangladesh|32, Colombia|33, Taiwan|34, Canada|35, Japan|36, North Macedonia|37, Croatia|38, Poland|39, Egypt|40, Zimbabwe|41, Myanmar|42, Türkiye|43, Cambodia|44, France|45, Chile|46, Samoa|47, Malta|48, PNG|49, Syria|50, Wales|51, Kenya|52, Russia|53, Bosnia/Herzegov|54, Serbia|55, Mauritius|56, Bhutan|57, Argentina|58, Northern Ireland|59, Ukraine|60, Spain|61, Tonga|62, Sudan|63, Nigeria|64, Portugal|65, Cyprus|66, Hungary|67, Ethiopia|68, Unit Arab Emir|69, Romania|70, Peru|71, Saudi Arabia|72, Austria|73, Switzerland|74, Timor-Leste|75, Mongolia|76, Laos|77, Israel|78, Sweden|79, El Salvador|80, Czechia|81, Uruguay|82, Denmark|83, Somalia|84, Jordan|85, Mexico|86, Vanuatu|87, South Sudan|88, Ghana|89, Zambia|90, Finland|91, Kuwait|92, Venezuela|93, Belgium|94, Cook Islands|95, Solomon Islands|96, Congo, Dem Rep|97, Slovakia|98, Eritrea|99, Slovenia|100, Uganda|101, Other (please specify)","Countries in order of population size within Australia as of 2023. Source: ABS",autocomplete,,,,"[demographics_filter] = '0'",y,,,,,
sr_field,demographics,,text,"What is the main field of study for your highest qualification completed?",,"Source: ABS",,,,,"[demographics_filter] = '0'",,,,,,
sr_chronic,demographics,"Disability and Medical Variables",checkbox,"Have you been told by a doctor or a nurse that you have any of these long-term health conditions?","1, Arthritis|2, Asthma|3, Cancer (including in remission)|4, Dementia (including Alzheimer's)|5, Diabetes (excluding gestational diabetes)|6, Heart disease (including heart attack or angina)|7, Kidney disease|8, Lung condition (including COPD or emphysema)|9, Mental health condition (including depression or anxiety)|10, Stroke (including TIAs)|11, High blood pressure|12, High cholesterol|13, Any other long-term health condition(s)|0, No known long-term health conditions","Check all which apply. Adapted from ABS Census Set",,,,,"[demographics_filter] = '0'",y,,,,,
sr_chronic_other,demographics,,text,"Which other long-term health conditions has a doctor or nurse told you you have?",,,,,,,"[demographics_filter] = '0'",,,,,,
sr_coghealth_yn,demographics,,yesno,"<div class=""rich-text-field-label""><p>Do you have any other conditions which affect your thinking skills, or your brain?</p> <p><span style=""font-weight: normal;"">For example; </span><span style=""font-weight: 400;"">head injuries, brain injuries, sleep disorders,</span><span style=""font-weight: normal;""> neurodevelopmental differences (dyslexia, dyscalculia, dyspraxia, autism, ADHD etc.), </span></p></div>",,,,,,,"[demographics_filter] = '0'",y,RH,,,,
sr_coghealth,demographics,,text,"What other condition, or conditions, affect your thinking skills or your brain?",,,,,,,"[demographics_filter] = '0'",,,,,,
sr_selfcare,demographics,,checkbox,"Do you ever need someone to help with, or be with you for, self-care activities?","1, Yes, always|2, Yes, sometimes|0, No","Adapted from ABS Census Set",,,,,"[demographics_filter] = '0'",,RH,,,,
sr_bodymove,demographics,,checkbox,"Do you ever need someone to help with, or be with you for, body movement activities?","1, Yes, always|2, Yes, sometimes|0, No","Adapted from ABS Census Set",,,,,"[demographics_filter] = '0'",,RH,,,,
sr_communicate,demographics,,checkbox,"Do you ever need someone to help with, or be with you for, communication activities?","1, Yes, always|2, Yes, sometimes|0, No","Adapted from ABS Census Set",,,,,"[demographics_filter] = '0'",,RH,,,,
sr_disability,demographics,,checkbox,"What are the reasons that you need assistance or supervision when completing self-care, body movement and/or communication activities?","1, Short-term health condition (lasting less than six months)|2, Long-term health condition (lasting six months or more)|3, Disability (lasting six months or more)|4, Old or young age|5, Difficulty with English language|6, Other reason","Source: ABS",,,,,"[demographics_filter] = '0'",y,,,,,
ra_countrybirth,demographics,,dropdown,"In which country was the participant born?","999, Unknown | 1, Australia | 2, England | 3, India | 4, China | 5, New Zealand | 6, Philippines | 7, Vietnam | 8, South Africa | 9, Malaysia | 10, Nepal | 11, Italy | 12, Sri Lanka | 13, Scotland | 14, Pakistan | 15, Hong Kong | 16, Korea, South | 17, USA | 18, Thailand | 19, Indonesia | 20, Iraq | 21, Germany | 22, Lebanon | 23, Ireland | 24, Greece | 25, Fiji | 26, Iran | 27, Afghanistan | 28, Singapore | 29, Netherlands | 30, Brazil | 31, Bangladesh | 32, Colombia | 33, Taiwan | 34, Canada | 35, Japan | 36, North Macedonia | 37, Croatia | 38, Poland | 39, Egypt | 40, Zimbabwe | 41, Myanmar | 42, Türkiye | 43, Cambodia | 44, France | 45, Chile | 46, Samoa | 47, Malta | 48, PNG | 49, Syria | 50, Wales | 51, Kenya | 52, Russia | 53, Bosnia/Herzegov | 54, Serbia | 55, Mauritius | 56, Bhutan | 57, Argentina | 58, Northern Ireland | 59, Ukraine | 60, Spain | 61, Tonga | 62, Sudan | 63, Nigeria | 64, Portugal | 65, Cyprus | 66, Hungary | 67, Ethiopia | 68, Unit Arab Emir | 69, Romania | 70, Peru | 71, Saudi Arabia | 72, Austria | 73, Switzerland | 74, Timor-Leste | 75, Mongolia | 76, Laos | 77, Israel | 78, Sweden | 79, El Salvador | 80, Czechia | 81, Uruguay | 82, Denmark | 83, Somalia | 84, Jordan | 85, Mexico | 86, Vanuatu | 87, South Sudan | 88, Ghana | 89, Zambia | 90, Finland | 91, Kuwait | 92, Venezuela | 93, Belgium | 94, Cook Islands | 95, Solomon Islands | 96, Congo, Dem Rep | 97, Slovakia | 98, Eritrea | 99, Slovenia | 100, Uganda | 101, Other (please specify)","Countries in order of population size within Australia as of 2023. Source: ABS",autocomplete,,,,"[demographics_filter] = '1'",y,,,,,
ra_countrybirth_other,demographics,,text,"You selected other, please specify which country:",,,,,,,"[ra_countrybirth] = '101'",,,,,,
ra_arrival,demographics,,text,"What year did they arrive in Australia to live here?",,,,,,,"[ra_countrybirth] >1 and [ra_countrybirth] <998",y,,,,,
